id,value
id_0,16.960507791883927
id_1,61.05467300211616
id_2,20.713970227411423
id_3,29.023532756599547
id_4,6.774329709863285
id_5,18.688070061511542
id_6,38.998763879542814
id_7,12.114669287159865
id_8,49.43096004418561
id_9,18.51583420825369
id_10,31.962705875201983
id_11,50.178741262778324
id_12,34.812028507024856
id_13,20.731725402591916
id_14,29.305140373467754
id_15,10.348799820983146
id_16,52.87717136337108
id_17,18.352460401989255
id_18,10.214958051166699
id_19,8.887889113127937
id_20,16.228165866910327
id_21,28.622404917853142
id_22,36.38831577298611
id_23,22.388326922151048
id_24,65.85831185427999
id_25,32.241827456801225
id_26,18.559041058969733
id_27,10.947844305877831
id_28,27.4776226087266
id_29,23.125645598962052
id_30,10.854386167715827
id_31,8.230807313724076
id_32,13.120521877985086
id_33,19.753903238818925
id_34,15.165019090538149
id_35,42.82215829724876
id_36,19.719774622822403
id_37,22.294589073304117
id_38,17.676318845591663
id_39,60.48223001203433
id_40,35.18095452399363
id_41,22.944294496128634
id_42,47.785358766896316
id_43,16.711119325168667
id_44,32.91463436741352
id_45,47.027148341410836
id_46,57.66707078471783
id_47,36.20809500142576
id_48,37.79978561201
id_49,25.38525987396617
id_50,25.22995329631242
id_51,16.556816660762728
id_52,38.19672280965306
id_53,17.48550360490694
id_54,28.218179465721732
id_55,34.95619080277982
id_56,19.83653301489013
id_57,16.919301310294774
id_58,32.11581410132505
id_59,33.38938075680321
id_60,11.367954406153
id_61,37.185369359241264
id_62,27.318438956671947
id_63,45.8215380482358
id_64,43.036661377145755
id_65,23.997811089559754
id_66,36.27666506022925
id_67,50.08366744048761
id_68,25.101069543671937
id_69,39.06362377290144
id_70,59.31750930627987
id_71,61.670513046934275
id_72,40.95124025893629
id_73,18.183865223301723
id_74,15.383020175663296
id_75,36.29001248428732
id_76,66.59705909295099
id_77,8.123959557715681
id_78,40.54533329142721
id_79,35.026229570310704
id_80,11.647159900157442
id_81,18.323573473924565
id_82,10.186229552464823
id_83,29.130160819253653
id_84,11.876005487458638
id_85,12.755113812497125
id_86,13.762539507387935
id_87,13.06191224809785
id_88,21.349253850853366
id_89,18.3134726114029
id_90,32.05515283750142
id_91,13.011220146704378
id_92,16.31488376335182
id_93,13.522079485754823
id_94,31.564512193351497
id_95,17.208011375655843
id_96,14.764428082579917
id_97,10.315251192953726
id_98,11.692819646734938
id_99,13.294464164523916
id_100,10.877268044355054
id_101,20.125044484128555
id_102,13.18289419948768
id_103,15.204858490236061
id_104,12.778530960470366
id_105,23.549502577269916
id_106,18.079262949958316
id_107,11.45288245143023
id_108,20.78795819489511
id_109,14.377087819381446
id_110,11.639183633911614
id_111,11.15725303671048
id_112,16.548678422133133
id_113,15.811782594093783
id_114,16.592956525043416
id_115,17.420260490638306
id_116,12.664809286737443
id_117,31.771151934980306
id_118,26.002952624323722
id_119,10.04013557759708
id_120,8.328851344447179
id_121,11.673329185022922
id_122,11.047847391672487
id_123,10.079603836033012
id_124,12.467259118795951
id_125,18.577608786185877
id_126,25.32992430659999
id_127,10.125115466517352
id_128,15.268711284019533
id_129,13.779106439641808
id_130,7.957601838721999
id_131,21.73855461061729
id_132,19.331009462594963
id_133,40.11398466265068
id_134,26.207144706090972
id_135,21.448421334286877
id_136,13.185405875769593
id_137,21.104681325821804
id_138,85.15757484533547
id_139,77.39771969718957
id_140,27.88394328356096
id_141,13.289258899073754
id_142,17.059855871327688
id_143,10.23063300595172
id_144,17.185454378194276
id_145,10.352523596809618
id_146,18.14328283507653
id_147,12.199138720167825
id_148,14.66085250265888
id_149,15.196372730937613
id_150,29.67224923235878
id_151,19.870505181987696
id_152,18.02756310951866
id_153,10.54770312510333
id_154,20.23871083378747
id_155,24.607633245786957
id_156,17.29129073607148
id_157,26.149165106566592
id_158,10.497472459959159
id_159,18.32426079532922
id_160,44.882092614547446
id_161,14.688909342356515
id_162,59.98473465570604
id_163,12.406265343984035
id_164,23.409394121261354
id_165,22.1205753695052
id_166,22.064100748423392
id_167,12.174122531413959
id_168,83.3432292238815
id_169,18.08216375556259
id_170,13.629732664210355
id_171,76.5947942363318
id_172,20.024603176884735
id_173,9.829157859705571
id_174,36.702667745075516
id_175,12.707768325438394
id_176,13.092916770173096
id_177,29.330504205716817
id_178,21.691509475783345
id_179,21.904830371004252
id_180,32.94981637716372
id_181,33.48659665399919
id_182,36.70561668455438
id_183,14.257371738139977
id_184,10.020798032266024
id_185,32.767067613400634
id_186,28.915666167746924
id_187,26.892614594156814
id_188,13.845967508572038
id_189,20.259182631796435
id_190,13.083518307996362
